Name,Department,Affiliation,Homepage,Matched Areas
Ahmed M. Elgammal,Rutgers University,Rutgers University,http://www.cs.rutgers.edu/~elgammal/Home.html,"aaai, cvpr, eccv, eurographics, iccv, iclr, icml, icra, ijcai, nips"
Ahmed Sabbir Arif,Univ. of California - Merced,Univ. of California - Merced,http://www.asarif.com,chiconf
Ahmed Saeed 0001,Georgia Institute of Technology,Georgia Institute of Technology,https://www.cc.gatech.edu/~amsmti3,"mobisys, nsdi, osdi, sigcomm"
Ahmet Erdem Sariyüce,University at Buffalo,University at Buffalo,https://sariyuce.com,"kdd, vldb, www"
Aidong Lu,UNC - Charlotte,UNC - Charlotte,https://webpages.uncc.edu/alu1,"aaai, chiconf, eurographics, ijcai, vis, vr"
Aidong Zhang,University of Virginia,University of Virginia,https://engineering.virginia.edu/faculty/aidong-zhang,"aaai, cvpr, eccv, icde, icml, icra, ijcai, iros, kdd, mobicom, mobisys, nips, sensys, sigmod, ubicomp, vldb, www"
Aiichiro Nakano,University of Southern California,University of Southern California,http://physics.usc.edu/Faculty/Nakano,"sc, vr"
Aijun An,York University,York University,http://www.cse.yorku.ca/~aan,"acl, icde, iclr, kdd, sigir, vldb"
Aikaterini Mitrokotsa,Chalmers/GU,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aikmitr.aspx,pets
Aimin Hao,Beihang University,Beihang University,http://scse.buaa.edu.cn/info/1078/2654.htm,"aaai, cvpr, eccv, eurographics, iccv, nips, vr"
Aisha I. Ali-Gombe,Louisiana State University,Louisiana State University,https://csc.lsu.edu/~aligombe,ndss
Aishwarya Agrawal,University of Montreal,University of Montreal,https://www.cc.gatech.edu/grads/a/aagrawal307,"aaai, acl, cvpr, emnlp, iccv, naacl, nips"
Aishwarya Ganesan,Univ. of Illinois at Urbana-Champaign,Univ. of Illinois at Urbana-Champaign,https://aishwaryaganesan.github.io,"eurosys, fast, mobicom, osdi, sosp, usenixatc"
Aisling Kelliher,Virginia Tech,Virginia Tech,http://people.cs.vt.edu/~aislingk,"chiconf, kdd"
Ajay Kapur,Victoria University of Wellington,Victoria University of Wellington,https://ecs.victoria.ac.nz/Main/AjayKapur,iros
Ajmal Mian,University of Western Australia,University of Western Australia,http://staffhome.ecm.uwa.edu.au/~00053650,"aaai, cvpr, eccv, iccv, icde, iclr, icra, iros, nips, usenixatc"
Akane Sano,Rice University,Rice University,http://akane.sano.web.rice.edu,"chiconf, ubicomp"
Akarsh Prabhakara,University of Wisconsin - Madison,University of Wisconsin - Madison,https://akarsh-prabhakara.github.io,"cvpr, icra, iros, mobicom, mobisys, ubicomp"
Akash Kumar 0001,Ruhr-University Bochum,Ruhr-University Bochum,https://etit.ruhr-uni-bochum.de/fakultaet/professorinnen/prof-dr-akash-kumar,"asplos, dac, hpdc, iccad, ics, sc"
Aki Vehtari,Aalto University,Aalto University,https://users.aalto.fi/~ave,"icml, ismb, nips"
Akihiko Konagaya,Tokyo Institute of Technology,Tokyo Institute of Technology,http://konagaya-lab.com/en,"isca, ismb, sc"
Akihiko Takano,University of Tokyo,University of Tokyo,http://www.nii.ac.jp/en/faculty/digital_content/takano_akihiko,icfp
Akihiro Sato,Kyoto University,Kyoto University,http://ssuopt.amp.i.kyoto-u.ac.jp/akihiro/wiki_eng,iros
Akihiro Sugimoto,National Institute of Informatics,National Institute of Informatics,http://www.dgcv.nii.ac.jp,"cvpr, eccv, iccv, iros"
Akihiro Yamamoto,Kyoto University,Kyoto University,http://www.iip.ist.i.kyoto-u.ac.jp/member/akihiro/index-e.html,aaai
Akihisa Ohya,University of Tsukuba,University of Tsukuba,http://www.cs.tsukuba.ac.jp/~ohya/index_eng.html,"icra, iros"
Akiko Aizawa,National Institute of Informatics,National Institute of Informatics,http://www-al.nii.ac.jp/ja,"aaai, acl, emnlp, iclr, sc, sigir, www"
Akira Imakura,University of Tsukuba,University of Tsukuba,https://researchmap.jp/imakura?lang=en,"aaai, cvpr, ijcai, sc"
Akira Kawaguchi,CUNY,CUNY,https://www.ccny.cuny.edu/profiles/akira-kawaguchi,"dac, sigmod"
Akira Nukada,University of Tsukuba,University of Tsukuba,https://www.hpcs.cs.tsukuba.ac.jp/~nukada,sc
Akiya Kamimura,University of Tsukuba,University of Tsukuba,https://staff.aist.go.jp/kamimura.a/dsysdl/index.html,"icra, iros"
Akond Ashfaque Ur Rahman,Auburn University,Auburn University,https://akondrahman.github.io,"ccs, fse, icse"
Akramul Azim,Ontario Tech University,Ontario Tech University,https://engineering.ontariotechu.ca/people/ecse/akramul.azim.php,emsoft
